row_number,level,Nation_fk,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
250,1,2,2020,Europe,Albania,"         540,000","       2,640,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,220,000"
251,1,3,2020,Middle East-North Africa,Algeria,"          70,000","      39,430,000","         740,000","         <10,000","         <10,000","          10,000","         <10,000","         <10,000","      40,270,000"
252,1,4,2020,Asia-Pacific,American Samoa,"          60,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
253,1,5,2020,Europe,Andorra,"          70,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          80,000"
254,1,6,2020,Sub-Saharan Africa,Angola,"      22,190,000","          50,000","       1,270,000","         <10,000","         <10,000","       1,020,000","         <10,000","         <10,000","      24,530,000"
255,1,7,2020,Latin America-Caribbean,Anguilla,"          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000"
256,1,8,2020,Latin America-Caribbean,Antigua and Barbuda,"          90,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         100,000"
257,1,9,2020,Latin America-Caribbean,Argentina,"      37,420,000","         410,000","       5,320,000","         <10,000","          20,000","         330,000","         120,000","         200,000","      43,830,000"
258,1,10,2020,Asia-Pacific,Armenia,"       3,180,000","         <10,000","          40,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,230,000"
259,1,11,2020,Latin America-Caribbean,Aruba,"         100,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         110,000"
260,1,12,2020,Asia-Pacific,Australia,"      15,090,000","         740,000","       6,990,000","         410,000","         720,000","         180,000","         210,000","         120,000","      24,450,000"
261,1,13,2020,Europe,Austria,"       6,720,000","         530,000","       1,250,000","         <10,000","          20,000","         <10,000","          10,000","          20,000","       8,580,000"
262,1,14,2020,Asia-Pacific,Azerbaijan,"         260,000","       9,870,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      10,150,000"
263,1,15,2020,Latin America-Caribbean,Bahamas,"         360,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         380,000"
264,1,16,2020,Middle East-North Africa,Bahrain,"         210,000","       1,020,000","          30,000","         150,000","          50,000","         <10,000","         <10,000","         <10,000","       1,460,000"
265,1,17,2020,Asia-Pacific,Bangladesh,"         520,000","     153,010,000","         <10,000","      13,790,000","       1,040,000","         120,000","         120,000","         <10,000","     168,580,000"
266,1,18,2020,Latin America-Caribbean,Barbados,"         270,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         280,000"
267,1,19,2020,Europe,Belarus,"       6,650,000","          50,000","       2,690,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       9,410,000"
268,1,20,2020,Europe,Belgium,"       6,590,000","         810,000","       3,370,000","          10,000","          40,000","          30,000","          10,000","          30,000","      10,890,000"
269,1,21,2020,Latin America-Caribbean,Belize,"         330,000","         <10,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         380,000"
270,1,22,2020,Sub-Saharan Africa,Benin,"       6,010,000","       2,830,000","         600,000","         <10,000","         <10,000","       2,050,000","         <10,000","         <10,000","      11,500,000"
271,1,23,2020,North America,Bermuda,"          50,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          70,000"
272,1,24,2020,Asia-Pacific,Bhutan,"         <10,000","         <10,000","         <10,000","         190,000","         620,000","          20,000","         <10,000","         <10,000","         830,000"
273,1,25,2020,Latin America-Caribbean,Bolivia,"      11,120,000","         <10,000","         480,000","         <10,000","         <10,000","         100,000","         110,000","         <10,000","      11,830,000"
274,1,26,2020,Europe,Bosnia-Herzegovina,"       1,810,000","       1,650,000","          80,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,540,000"
275,1,27,2020,Sub-Saharan Africa,Botswana,"       1,700,000","          20,000","         390,000","         <10,000","         <10,000","         100,000","          10,000","         <10,000","       2,220,000"
276,1,28,2020,Latin America-Caribbean,Brazil,"     185,430,000","          40,000","      17,620,000","         <10,000","         250,000","       6,680,000","         300,000","         110,000","     210,450,000"
277,1,29,2020,Latin America-Caribbean,British Virgin Islands,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          30,000"
278,1,30,2020,Asia-Pacific,Brunei,"          40,000","         340,000","         <10,000","         <10,000","          40,000","          30,000","         <10,000","         <10,000","         450,000"
279,1,31,2020,Europe,Bulgaria,"       5,580,000","         980,000","         320,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       6,890,000"
280,1,32,2020,Sub-Saharan Africa,Burkina Faso,"       4,930,000","      14,240,000","         110,000","         <10,000","         <10,000","       3,430,000","         <10,000","         <10,000","      22,710,000"
281,1,33,2020,Sub-Saharan Africa,Burundi,"       9,180,000","         290,000","         <10,000","         <10,000","         <10,000","         610,000","         <10,000","         <10,000","      10,080,000"
282,1,34,2020,Asia-Pacific,Cambodia,"          60,000","         320,000","          30,000","         <10,000","      15,690,000","          90,000","         <10,000","         <10,000","      16,210,000"
283,1,35,2020,Sub-Saharan Africa,Cameroon,"      16,750,000","       4,640,000","       1,260,000","         <10,000","         <10,000","         760,000","         650,000","         <10,000","      24,070,000"
284,1,36,2020,North America,Canada,"      24,280,000","       1,030,000","       8,950,000","         610,000","         370,000","         450,000","         430,000","         420,000","      36,550,000"
285,1,37,2020,Sub-Saharan Africa,Cape Verde,"         510,000","         <10,000","          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         570,000"
286,1,38,2020,Latin America-Caribbean,Cayman Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
287,1,39,2020,Sub-Saharan Africa,Central African Republic,"       4,770,000","         480,000","          50,000","         <10,000","         <10,000","          50,000","         <10,000","         <10,000","       5,360,000"
288,1,40,2020,Sub-Saharan Africa,Chad,"       6,040,000","       8,090,000","         350,000","         <10,000","         <10,000","         190,000","          20,000","         <10,000","      14,690,000"
289,1,41,2020,Europe,Channel Islands,"         130,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         150,000"
290,1,42,2020,Latin America-Caribbean,Chile,"      16,380,000","          10,000","       1,800,000","         <10,000","          10,000","         270,000","          40,000","          20,000","      18,540,000"
291,1,43,2020,Asia-Pacific,China,"      72,410,000","      28,010,000","     720,100,000","          30,000","     254,700,000","     304,620,000","       9,560,000","         <10,000","   1,389,430,000"
292,1,44,2020,Latin America-Caribbean,Colombia,"      48,150,000","          10,000","       3,510,000","         <10,000","         <10,000","         430,000","          40,000","         <10,000","      52,160,000"
293,1,45,2020,Sub-Saharan Africa,Comoros,"         <10,000","         940,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         960,000"
294,1,46,2020,Sub-Saharan Africa,Republic of the Congo,"       4,480,000","          60,000","         410,000","         <10,000","         <10,000","         140,000","          50,000","         <10,000","       5,150,000"
295,1,47,2020,Sub-Saharan Africa,Democratic Republic of the Congo,"      81,520,000","       1,310,000","       1,450,000","          40,000","         <10,000","         620,000","         110,000","         <10,000","      85,060,000"
296,1,48,2020,Asia-Pacific,Cook Islands,"          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000"
297,1,49,2020,Latin America-Caribbean,Costa Rica,"       4,780,000","         <10,000","         420,000","         <10,000","         <10,000","          40,000","          20,000","         <10,000","       5,270,000"
298,1,50,2020,Sub-Saharan Africa,Ivory Coast,"      10,690,000","       9,040,000","       1,970,000","         <10,000","          10,000","       2,550,000","          40,000","         <10,000","      24,320,000"
299,1,51,2020,Europe,Croatia,"       4,010,000","          70,000","         220,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,300,000"
300,1,52,2020,Latin America-Caribbean,Cuba,"       6,610,000","         <10,000","       2,600,000","          20,000","         <10,000","       1,980,000","         <10,000","         <10,000","      11,230,000"
301,1,53,2020,Asia-Pacific,Cyprus,"         880,000","         300,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,220,000"
302,1,54,2020,Europe,Czech Republic,"       2,210,000","          20,000","       8,280,000","         <10,000","          20,000","          20,000","         <10,000","         <10,000","      10,560,000"
303,1,55,2020,Europe,Denmark,"       4,640,000","         290,000","         680,000","          30,000","          20,000","         <10,000","         <10,000","         <10,000","       5,670,000"
304,1,56,2020,Sub-Saharan Africa,Djibouti,"          20,000","       1,030,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,070,000"
305,1,57,2020,Latin America-Caribbean,Dominica,"          70,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          70,000"
306,1,58,2020,Latin America-Caribbean,Dominican Republic,"       9,930,000","         <10,000","       1,230,000","         <10,000","         <10,000","         100,000","          10,000","         <10,000","      11,280,000"
307,1,59,2020,Latin America-Caribbean,Ecuador,"      15,490,000","         <10,000","         920,000","         <10,000","         <10,000","          50,000","         <10,000","         <10,000","      16,480,000"
308,1,60,2020,Middle East-North Africa,Egypt,"       4,440,000","      90,420,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      94,870,000"
309,1,61,2020,Latin America-Caribbean,El Salvador,"       5,870,000","         <10,000","         740,000","         <10,000","         <10,000","          30,000","          20,000","         <10,000","       6,670,000"
310,1,62,2020,Sub-Saharan Africa,Equatorial Guinea,"         770,000","          30,000","          40,000","         <10,000","         <10,000","          10,000","         <10,000","         <10,000","         860,000"
311,1,63,2020,Sub-Saharan Africa,Eritrea,"       4,230,000","       2,460,000","         <10,000","         <10,000","         <10,000","          30,000","         <10,000","         <10,000","       6,730,000"
312,1,64,2020,Europe,Estonia,"         500,000","         <10,000","         770,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,280,000"
313,1,65,2020,Sub-Saharan Africa,Ethiopia,"      62,610,000","      36,290,000","          60,000","         <10,000","         <10,000","       2,120,000","          10,000","         <10,000","     101,100,000"
314,1,66,2020,Europe,Faeroe Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          50,000"
315,1,67,2020,Latin America-Caribbean,Falkland Islands (Malvinas),"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
316,1,68,2020,Asia-Pacific,Fiji,"         630,000","          60,000","         <10,000","         270,000","         <10,000","         <10,000","         <10,000","         <10,000","         980,000"
317,1,69,2020,Europe,Finland,"       4,280,000","          70,000","       1,140,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       5,510,000"
318,1,70,2020,Europe,France,"      37,940,000","       5,430,000","      20,830,000","          40,000","         310,000","         250,000","         110,000","         340,000","      65,260,000"
319,1,71,2020,Latin America-Caribbean,French Guiana,"         240,000","         <10,000","          10,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","         280,000"
320,1,72,2020,Asia-Pacific,French Polynesia,"         280,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         300,000"
321,1,73,2020,Sub-Saharan Africa,Gabon,"       1,400,000","         230,000","         110,000","         <10,000","         <10,000","         110,000","          10,000","         <10,000","       1,860,000"
322,1,74,2020,Sub-Saharan Africa,Gambia,"         100,000","       2,260,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,370,000"
323,1,75,2020,Europe,Georgia,"       3,690,000","         490,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,220,000"
324,1,76,2020,Europe,Germany,"      53,190,000","       5,530,000","      21,150,000","          80,000","         230,000","          40,000","         100,000","         220,000","      80,540,000"
325,1,77,2020,Sub-Saharan Africa,Ghana,"      22,330,000","       5,300,000","       1,160,000","         <10,000","         <10,000","       1,500,000","          40,000","         <10,000","      30,350,000"
326,1,78,2020,Europe,Gibraltar,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          30,000"
327,1,79,2020,Europe,Greece,"       9,850,000","         660,000","         690,000","          20,000","         <10,000","          10,000","          10,000","         <10,000","      11,250,000"
328,1,80,2020,North America,Greenland,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
329,1,81,2020,Latin America-Caribbean,Grenada,"         120,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         120,000"
330,1,82,2020,Latin America-Caribbean,Guadeloupe,"         470,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         490,000"
331,1,83,2020,Asia-Pacific,Guam,"         190,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         200,000"
332,1,84,2020,Latin America-Caribbean,Guatemala,"      17,360,000","         <10,000","         720,000","         <10,000","         <10,000","         110,000","          20,000","         <10,000","      18,210,000"
333,1,85,2020,Sub-Saharan Africa,Guinea,"       1,380,000","      10,800,000","         230,000","         <10,000","          10,000","         340,000","         <10,000","         <10,000","      12,760,000"
334,1,86,2020,Sub-Saharan Africa,Guinea-Bissau,"         350,000","         850,000","          80,000","         <10,000","         <10,000","         560,000","         <10,000","         <10,000","       1,840,000"
335,1,87,2020,Latin America-Caribbean,Guyana,"         580,000","          50,000","          20,000","         200,000","         <10,000","         <10,000","         <10,000","         <10,000","         850,000"
336,1,88,2020,Latin America-Caribbean,Haiti,"      10,040,000","         <10,000","       1,230,000","         <10,000","         <10,000","         240,000","          30,000","         <10,000","      11,550,000"
337,1,89,2020,Europe,Vatican City,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
338,1,90,2020,Latin America-Caribbean,Honduras,"       7,950,000","          10,000","         950,000","         <10,000","          10,000","         100,000","          60,000","         <10,000","       9,090,000"
339,1,91,2020,Asia-Pacific,Hong Kong,"       1,120,000","         160,000","       4,090,000","          30,000","       1,000,000","         970,000","         110,000","         <10,000","       7,480,000"
340,1,92,2020,Europe,Hungary,"       7,680,000","          10,000","       1,970,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       9,690,000"
341,1,93,2020,Europe,Iceland,"         330,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         350,000"
342,1,94,2020,Asia-Pacific,India,"      33,800,000","     213,340,000","         900,000","   1,093,780,000","      10,140,000","       6,540,000","      28,520,000","          10,000","   1,387,030,000"
343,1,95,2020,Asia-Pacific,Indonesia,"      26,930,000","     229,620,000","         240,000","       4,210,000","       1,800,000","         750,000","         360,000","         <10,000","     263,910,000"
344,1,96,2020,Asia-Pacific,Iran,"         100,000","      80,880,000","         100,000","          20,000","         <10,000","         <10,000","         140,000","         <10,000","      81,250,000"
345,1,97,2020,Middle East-North Africa,Iraq,"         320,000","      41,430,000","          50,000","         <10,000","         <10,000","         <10,000","          20,000","         <10,000","      41,830,000"
346,1,98,2020,Europe,Ireland,"       4,590,000","          80,000","         400,000","          20,000","          10,000","         <10,000","         <10,000","         <10,000","       5,110,000"
347,1,99,2020,Europe,Isle of Man,"          80,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          90,000"
348,1,100,2020,Middle East-North Africa,Israel,"         180,000","       1,730,000","         280,000","         <10,000","          20,000","          20,000","          10,000","       6,360,000","       8,600,000"
349,1,101,2020,Europe,Italy,"      48,720,000","       2,960,000","       8,100,000","         140,000","         150,000","         100,000","          60,000","          50,000","      60,270,000"
350,1,102,2020,Latin America-Caribbean,Jamaica,"       2,270,000","         <10,000","         500,000","         <10,000","         <10,000","         140,000","          30,000","         <10,000","       2,930,000"
351,1,103,2020,Asia-Pacific,Japan,"       2,190,000","         220,000","      74,780,000","          40,000","      41,380,000","         500,000","       5,550,000","         <10,000","     124,660,000"
352,1,104,2020,Middle East-North Africa,Jordan,"         160,000","       7,410,000","         <10,000","          10,000","          30,000","         <10,000","         <10,000","         <10,000","       7,640,000"
353,1,105,2020,Asia-Pacific,Kazakhstan,"       4,130,000","      12,870,000","         720,000","         <10,000","          60,000","          70,000","          20,000","         <10,000","      17,880,000"
354,1,106,2020,Sub-Saharan Africa,Kenya,"      44,460,000","       5,550,000","       1,200,000","          70,000","         <10,000","         780,000","         570,000","         <10,000","      52,630,000"
355,1,107,2020,Asia-Pacific,Kiribati,"         110,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         110,000"
356,1,108,2020,Europe,Kosovo,"         100,000","       1,750,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,860,000"
357,1,109,2020,Middle East-North Africa,Kuwait,"         450,000","       2,350,000","         <10,000","         330,000","         180,000","         <10,000","         <10,000","         <10,000","       3,320,000"
358,1,110,2020,Asia-Pacific,Kyrgyzstan,"         620,000","       5,540,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       6,190,000"
359,1,111,2020,Asia-Pacific,Laos,"         110,000","         <10,000","          60,000","         <10,000","       4,630,000","       2,370,000","          50,000","         <10,000","       7,240,000"
360,1,112,2020,Europe,Latvia,"       1,160,000","         <10,000","         960,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,130,000"
361,1,113,2020,Middle East-North Africa,Lebanon,"       1,740,000","       2,780,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,550,000"
362,1,114,2020,Sub-Saharan Africa,Lesotho,"       2,310,000","         <10,000","          70,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,380,000"
363,1,115,2020,Sub-Saharan Africa,Liberia,"       4,480,000","         610,000","          70,000","         <10,000","         <10,000","          30,000","         <10,000","         <10,000","       5,200,000"
364,1,116,2020,Middle East-North Africa,Libya,"         200,000","       7,170,000","          10,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","       7,420,000"
365,1,117,2020,Europe,Liechtenstein,"          40,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          40,000"
366,1,118,2020,Europe,Lithuania,"       2,820,000","         <10,000","         310,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,130,000"
367,1,119,2020,Europe,Luxembourg,"         370,000","          10,000","         140,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         520,000"
368,1,120,2020,Asia-Pacific,Macau,"          40,000","         <10,000","          90,000","         <10,000","         100,000","         340,000","         <10,000","         <10,000","         570,000"
369,1,121,2020,Europe,Republic of Macedonia,"       1,100,000","         870,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,000,000"
370,1,122,2020,Sub-Saharan Africa,Madagascar,"      23,200,000","         850,000","       2,010,000","          20,000","         <10,000","       1,270,000","          30,000","         <10,000","      27,380,000"
371,1,123,2020,Sub-Saharan Africa,Malawi,"      17,280,000","       2,660,000","         410,000","          10,000","         <10,000","         340,000","          10,000","         <10,000","      20,720,000"
372,1,124,2020,Asia-Pacific,Malaysia,"       3,140,000","      22,070,000","         200,000","       1,940,000","       5,220,000","         730,000","          50,000","         <10,000","      33,360,000"
373,1,125,2020,Asia-Pacific,Maldives,"         <10,000","         350,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         360,000"
374,1,126,2020,Sub-Saharan Africa,Mali,"         490,000","      19,610,000","         110,000","         <10,000","         <10,000","         530,000","         <10,000","         <10,000","      20,730,000"
375,1,127,2020,Europe,Malta,"         400,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         420,000"
376,1,128,2020,Asia-Pacific,Marshall Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          50,000"
377,1,129,2020,Latin America-Caribbean,Martinique,"         400,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         420,000"
378,1,130,2020,Sub-Saharan Africa,Mauritania,"          10,000","       4,310,000","         <10,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","       4,350,000"
379,1,131,2020,Sub-Saharan Africa,Mauritius,"         440,000","         230,000","          10,000","         640,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,330,000"
380,1,132,2020,Sub-Saharan Africa,Mayotte,"         <10,000","         270,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         270,000"
381,1,133,2020,Latin America-Caribbean,Mexico,"     118,570,000","         <10,000","       7,240,000","         <10,000","          10,000","          70,000","          20,000","          80,000","     126,010,000"
382,1,134,2020,Asia-Pacific,Federated States of Micronesia,"         130,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         130,000"
383,1,135,2020,Europe,Moldova,"       3,260,000","          30,000","          40,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000","       3,350,000"
384,1,136,2020,Europe,Monaco,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          40,000"
385,1,137,2020,Asia-Pacific,Mongolia,"          70,000","         110,000","       1,160,000","         <10,000","       1,730,000","         110,000","         <10,000","         <10,000","       3,190,000"
386,1,138,2020,Europe,Montenegro,"         490,000","         130,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         640,000"
387,1,139,2020,Latin America-Caribbean,Montserrat,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
388,1,140,2020,Middle East-North Africa,Morocco,"          20,000","      35,510,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      35,530,000"
389,1,141,2020,Sub-Saharan Africa,Mozambique,"      16,760,000","       5,000,000","       5,020,000","          10,000","         <10,000","       2,210,000","         <10,000","         <10,000","      29,000,000"
390,1,142,2020,Asia-Pacific,Burma (Myanmar),"       4,040,000","       2,200,000","         260,000","         890,000","      41,440,000","       2,990,000","          90,000","         <10,000","      51,910,000"
391,1,143,2020,Sub-Saharan Africa,Namibia,"       2,600,000","         <10,000","          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,670,000"
392,1,144,2020,Asia-Pacific,Nauru,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          10,000"
393,1,145,2020,Asia-Pacific,Nepal,"         170,000","       1,790,000","          90,000","      28,600,000","       3,540,000","       1,290,000","          30,000","         <10,000","      35,490,000"
394,1,146,2020,Europe,Netherlands,"       8,070,000","       1,170,000","       7,550,000","         100,000","          50,000","          40,000","          40,000","          30,000","      17,040,000"
395,1,148,2020,Asia-Pacific,New Caledonia,"         230,000","         <10,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         280,000"
396,1,149,2020,Asia-Pacific,New Zealand,"       2,540,000","          80,000","       1,910,000","         120,000","          90,000","          20,000","          40,000","         <10,000","       4,810,000"
397,1,150,2020,Latin America-Caribbean,Nicaragua,"       5,710,000","         <10,000","         870,000","         <10,000","         <10,000","          90,000","         <10,000","         <10,000","       6,690,000"
398,1,151,2020,Sub-Saharan Africa,Niger,"         200,000","      21,660,000","         170,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","      22,040,000"
399,1,152,2020,Sub-Saharan Africa,Nigeria,"      96,080,000","     104,650,000","         790,000","         <10,000","          20,000","       3,050,000","         110,000","         <10,000","     204,690,000"
400,1,153,2020,Asia-Pacific,Niue,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
401,1,154,2020,Asia-Pacific,North Korea,"         500,000","         <10,000","      18,070,000","         <10,000","         380,000","       3,130,000","       3,270,000","         <10,000","      25,350,000"
402,1,155,2020,Asia-Pacific,Northern Mariana Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
403,1,156,2020,Europe,Norway,"       4,230,000","         250,000","         600,000","          30,000","          40,000","         <10,000","          10,000","         <10,000","       5,180,000"
404,1,157,2020,Middle East-North Africa,Oman,"         220,000","       2,890,000","          10,000","         190,000","          20,000","         <10,000","          30,000","         <10,000","       3,370,000"
405,1,158,2020,Asia-Pacific,Pakistan,"       3,260,000","     200,490,000","          30,000","       3,990,000","          20,000","          40,000","          30,000","         <10,000","     207,860,000"
406,1,159,2020,Asia-Pacific,Palau,"          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000"
407,1,160,2020,Middle East-North Africa,Palestinian territories,"         110,000","       5,250,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       5,360,000"
408,1,161,2020,Latin America-Caribbean,Panama,"       3,720,000","          30,000","         200,000","         <10,000","         <10,000","          20,000","          20,000","          20,000","       4,020,000"
409,1,162,2020,Asia-Pacific,Papua New Guinea,"       8,390,000","         <10,000","         <10,000","         <10,000","         <10,000","          40,000","          20,000","         <10,000","       8,460,000"
410,1,163,2020,Latin America-Caribbean,Paraguay,"       7,390,000","         <10,000","          90,000","         <10,000","         <10,000","         130,000","          10,000","         <10,000","       7,630,000"
411,1,164,2020,Latin America-Caribbean,Peru,"      31,420,000","         <10,000","       1,010,000","         <10,000","          50,000","         330,000","         110,000","         <10,000","      32,920,000"
412,1,165,2020,Asia-Pacific,Philippines,"     102,320,000","       6,330,000","         110,000","         <10,000","         100,000","       1,750,000","         160,000","         <10,000","     110,780,000"
413,1,167,2020,Europe,Poland,"      35,120,000","          20,000","       2,780,000","         <10,000","         <10,000","         <10,000","         <10,000","          10,000","      37,950,000"
414,1,168,2020,Europe,Portugal,"       9,370,000","          40,000","         890,000","         <10,000","          20,000","          20,000","         <10,000","         <10,000","      10,360,000"
415,1,169,2020,Latin America-Caribbean,Puerto Rico,"       3,660,000","         <10,000","          80,000","         <10,000","          10,000","          30,000","         <10,000","         <10,000","       3,790,000"
416,1,170,2020,Middle East-North Africa,Qatar,"         310,000","       1,490,000","          20,000","         360,000","          90,000","         <10,000","          10,000","         <10,000","       2,290,000"
417,1,171,2020,Sub-Saharan Africa,Reunion,"         820,000","          40,000","          20,000","          40,000","         <10,000","         <10,000","          10,000","         <10,000","         940,000"
418,1,172,2020,Europe,Romania,"      20,320,000","          80,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      20,430,000"
419,1,173,2020,Europe,Russia,"     101,900,000","      15,940,000","      21,190,000","          60,000","         170,000","         300,000","          10,000","         200,000","     139,760,000"
420,1,174,2020,Sub-Saharan Africa,Rwanda,"      13,230,000","         310,000","         430,000","         <10,000","         <10,000","         100,000","          30,000","         <10,000","      14,100,000"
421,1,175,2020,Sub-Saharan Africa,St. Helena,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
422,1,176,2020,Latin America-Caribbean,St. Kitts and Nevis,"          60,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
423,1,177,2020,Latin America-Caribbean,St. Lucia,"         180,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         190,000"
424,1,178,2020,North America,St. Pierre and Miquelon,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
425,1,179,2020,Latin America-Caribbean,St. Vincent and the Grenadines,"         110,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         120,000"
